	SRR13675761	SRR13675762	SRR13675763	SRR13675764	SRR13675765	SRR13675766	SRR13675767	SRR13675768	SRR13675769	SRR13675770	SRR13675771	SRR13675772	SRR13675773	SRR13675774	SRR13675775	SRR13675776	SRR13675777	SRR13675778	SRR13675779	SRR13675780	SRR13675781	SRR13675782	SRR13675783	SRR13675784	SRR13675785	SRR13675786	SRR13675787	SRR13675788	SRR13675789	SRR13675790	SRR13675791	SRR13675792	SRR13675793	SRR13675794	SRR13675795	SRR13675796	SRR13675797	SRR13675798	SRR13675799	SRR13675800	SRR13675801	SRR13675802	SRR13675803	SRR13675804	SRR13675805	SRR13675806	SRR13675807	SRR13675808	SRR13675809	SRR13675810	SRR13675811	SRR13675812	SRR13675813	SRR13675814	SRR13675815	SRR13675816	SRR13675817	SRR13675818	SRR13675819	SRR13675820	SRR13675821	SRR13675822	SRR13675823	SRR13675824	SRR13675825	SRR13675826	SRR13675827	SRR13675828	SRR13675829	SRR13675830	SRR13675831	SRR13675832	SRR13675833	SRR13675834	SRR13675835	SRR13675836	SRR13675837	SRR13675838	SRR13675839	SRR13675840	SRR13675841	SRR13675842	SRR13675843	SRR13675844	SRR13675845	SRR13675846	SRR13675847	SRR13675848	SRR13675849	SRR13675850	SRR13675851	SRR13675852	SRR13675853	SRR13675854	SRR13675855	SRR13675856	SRR13675857	SRR13675858	SRR13675859	SRR13675860	SRR13675861	SRR13675862	SRR13675863	SRR13675864	SRR13675865	SRR13675866	SRR13675867	SRR13675868	SRR13675869	SRR13675870	SRR13675871	SRR13675872	SRR13675873	SRR13675874	SRR13675875	SRR13675876	SRR13675877	SRR13675878	SRR13675879	SRR13675880	SRR13675881	SRR13675882	SRR13675883	SRR13675884	SRR13675885	SRR13675886	SRR13675887	SRR13675888	SRR13675889	SRR13675890	SRR13675891	SRR13675892	SRR13675893	SRR13675894	SRR13675895	SRR13675896	SRR13675897	SRR13675898	SRR13675899	SRR13675900	SRR13675901	SRR13675902	SRR13675903	SRR13675904	SRR13675905	SRR13675906	SRR13675907	SRR13675908	SRR13675909	SRR13675910	SRR13675911	SRR13675912	SRR13675913	SRR13675914	SRR13675915	SRR13675916	SRR13675917	SRR13675918	SRR13675919	SRR13675920	SRR13675921	SRR13675922	SRR13675923	SRR13675924	SRR13675925	SRR13675926	SRR13675927	SRR13675928	SRR13675929	SRR13675930	SRR13675931	SRR13675932	SRR13675933	SRR13675934	SRR13675935	SRR13675936	SRR13675937	SRR13675938	SRR13675939	SRR13675940	SRR13675941	SRR13675942	SRR13675943	SRR13675944	SRR13675945	SRR13675946
ASV_0011	0	3	0	0	0	0	1640	0	0	0	0	0	0	0	0	7	0	50	0	0	0	0	0	20	0	1316	364	0	9	296	2061	0	26	4	702	5248	24	0	0	1477	14	82	0	29	6535	2230	9	685	483	0	824	0	93	93	0	0	108	152	0	0	0	86	36	0	0	2419	2040	37	0	7	1642	1959	27	361	8629	2269	0	3	3035	20	0	0	0	5	12	0	0	6684	304	0	0	0	436	117	0	0	0	4	0	0	424	0	248	0	0	1728	2312	0	0	2583	15	0	62	0	8603	6529	22	12	4916	3480	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	0	80	5	0	0	0	0	0	9	0	499	2274	37	118	147	2416	936	0	0	2485	558	162	7	0	0	0	7	5	0	0	0	0	2054	0	0	21	0
ASV_0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	773	286	0	0	0	24	0	0	0	0	0	0	0	26	83	154	84	0	67	0	0	0	0	0	0	0	0	785	2195	32	32	1002	1976	472	0	0	622	126	0	0	4022	2210	126	0	183	217	154	0	96	1830	348	0	0	621	808	0	7	10	2491	3121	0	0	836	354	0	0	1050	280	519	0	0	745	778	0	0	409	0	1036	0	0	169	0	0	8	142	359	7	25	1432	93	0	0	0	66	69	7013	10374	0	2105	100	1691	0	2	2970	3209	0	0	853	362	0	449	0	286	0	0	0	0	0	0	0	0	494	0	0	0	65	54	87	0	40	2445	1509	152	194	702	78	160	28	0	381	119	7	9	3142	4474	0	5	399	3874	1197	0	373	4067	2563	164	5770	8	0	404	454	73
ASV_0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	33	0	879	343	7	0	0	0	0	0	0	0	0	0	0	0	0	532	327	30	102	9	0	0	18	37	0	0	22	1052	2303	81	61	1963	3655	1466	0	0	630	150	0	0	4662	2136	120	0	515	87	63	0	0	649	122	0	0	0	0	19	0	0	0	0	0	0	0	0	0	3	1175	0	0	0	0	0	0	0	0	0	0	1160	0	0	0	0	0	0	0	0	0	0	1552	0	0	0	8	0	0	15034	21928	8	4438	118	3520	15	0	6129	6750	0	0	1976	750	0	492	0	522	71	0	0	0	0	0	0	0	576	0	0	0	0	0	0	0	0	0	0	0	0	951	0	0	0	0	0	0	0	0	0	0	0	0	0	796	109	0	0	131	118	0	0	0	0	0	39	0
ASV_0014	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1188	0	11	0	0	0	0	0	0	0	0	28	81	199	153	5	7	219	246	8135	0	0	68	9	0	0	386	336	4	0	60	197	624	5	111	2125	1076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	0	0	58	0	3435	2072	111	83	970	0	846	0	16	60	66	0	0	1386	0	0	38	5	1493	851	0	0	840	777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	14	0	0	86	0	12	0	123	0	0	0	233	0	0	26	17	0	0	121	951	405	655	85	211	137	3691	4	39	34	855	2	16	13	190	20055	17367	19	169	2048	2355	19	686	244	0	70	599	170
ASV_0015	47	0	27	0	0	0	1070	0	0	0	0	8	0	0	0	77	0	124	492	0	19	291	562	0	0	212	60	0	288	989	2802	0	74	53	290	1734	537	0	0	366	0	0	0	56	412	143	0	1275	657	0	2313	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	64	12035	3104	6	52	3084	8580	0	0	0	0	0	0	0	0	0	5	0	881	2993	0	0	0	1155	1725	0	0	0	0	0	0	0	96	0	0	0	34	68	0	5	16	0	0	50	0	223	430	0	0	341	409	0	0	13	0	25	0	0	0	0	0	0	0	75	135	0	34	0	1762	4227	0	3	5417	118	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	588	1139	1437	0	36	168	3012	0	0	117	492	81	0	10	0	63	0	0	11	540	98	1897	149	63	55	2533	4919
ASV_0016	0	0	15	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	2612	3061	0	0	40	256	0	0	0	8	537	0	0	0	0	0	0	0	27	27	11	0	80	31	0	0	13	0	0	0	0	0	0	943	0	0	0	0	0	0	0	0	0	0	881	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1510	0	0	0	0	0	0	0	0	0	0	2773	0	0	43	2204	0	0	0	0	0	0	1974	0	9	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	42	0	0	7	0	0	0	0	0	0	4641	142	0	0	1826	38	14	612	0	13	534	591	30	135	2146	2110	13941	35	26	402	5843	7	11	1470	1365	0	0	15	2185	12048	0	24	470	416	0	100	23	0	0	93	0
ASV_0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	112	7	4072	774	7	0	15	23	0	0	0	0	0	0	0	0	0	434	428	0	7	0	0	0	0	0	0	0	0	36	49	27	59	1813	2783	0	0	3	328	23	0	0	251	101	6	0	0	8	0	0	0	16	0	0	0	619	186	0	13	16	2318	2701	0	0	61	9	0	0	7	8	29	22	0	3483	3316	85	55	3322	0	78	0	45	4160	379	0	8	363	1148	0	7	13	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	635	0	0	141	34	32	18329	12	61	6514	5030	232	399	1277	18	9	10	0	155	9	0	0	291	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0018	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	912	15054	1747	705	5277	0	18989	1142	83	1729	7397	1157	0	0	0	2837	0	0	0	0	6874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	61	0	0	0	70	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0019	17	6	0	0	0	0	4894	0	0	0	5	16	0	4	4	233	0	34	1135	0	15	850	1371	20	6	498	384	18	4	500	2524	0	24	0	368	3698	310	0	5	1096	8	30	13	222	1880	874	17	1964	686	6	2742	155	0	0	0	0	0	0	3	0	0	0	0	0	0	217	430	0	0	19	1940	2284	0	26	772	1196	0	0	0	0	12	0	0	0	0	0	0	2503	590	0	0	7	395	429	0	0	0	0	0	0	0	3	101	0	0	141	330	2	0	782	6	6	70	7	3633	2978	3	0	724	682	0	0	17	0	9	0	2	0	0	0	12	0	148	50	0	11	0	1228	1892	43	0	110	9	0	18	0	245	3	4	0	289	0	0	2	21	0	0	9	40	878	1363	675	262	332	1581	944	0	0	693	251	392	0	3	4	9	0	10	3	106	26	859	1521	33	15	1345	1983
ASV_0020	239	847	0	0	0	0	21	84	0	0	0	77	0	0	26	1517	0	1198	0	0	799	0	11	844	4622	0	0	0	2194	1001	0	0	0	2836	0	3	7282	0	197	3	0	0	0	0	13	0	130	0	0	22	21	848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	121	245	0	0	0	17	0	0	0	0	0	0	86	0	142	35	122	92	16	48	0	0	0	63	0	0	0	0	130	0	0	0	70	0	0	0	275	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	2028	23723	7553	62	0	0	325	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	15	153	0	0	20	0	0	55	0	0	0	1275	0	0	0	28	0	4
ASV_0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	57	0	3637	2221	85	0	918	0	0	0	0	59	78	0	0	1424	4	0	0	0	1686	868	0	0	835	767	0	0	8	1211	0	8550	0	1734	118	331	1655	1298	25	336	22300	0	2649	7959	1122	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0022	0	0	76	647	51	6	0	7	1496	1449	0	120	477	227	0	46	0	0	0	0	120	42	0	44	0	2287	676	0	0	0	0	0	0	0	0	0	0	0	0	0	476	356	6	27	0	7	0	0	0	0	0	0	516	1039	137	161	6378	11905	10	0	4	2939	548	12	29	7034	3444	160	10	0	178	259	0	33	628	105	0	0	4	0	3	0	0	26	16	0	0	1	2	0	0	441	2	0	0	0	135	99	0	0	98	0	408	0	15	646	86	0	0	141	360	0	0	799	77	0	0	0	0	0	69	132	0	503	6	415	0	0	29	0	0	0	90	0	0	95	0	0	0	0	0	0	0	0	0	0	473	0	0	0	0	0	0	0	0	0	0	0	0	813	0	0	0	0	0	0	0	0	0	0	0	0	274	3276	1072	0	264	3530	1166	0	42	0	0	442	0	0
ASV_0023	335	278	4652	0	12	120	0	165	0	0	381	2131	0	0	769	1084	0	712	6	433	7406	0	0	337	279	0	10	634	68	1548	0	0	135	127	2740	0	44	0	78	0	0	5	426	879	37	4	323	0	11	8	4	421	0	8	491	264	0	0	0	265	153	0	0	668	2019	0	0	174	1870	39	7	10	909	1454	0	0	178	37	0	0	169	1079	136	0	4	261	118	0	0	893	650	582	33	65	282	95	0	0	373	453	0	707	0	17	166	0	0	227	231	0	0	548	70	0	0	0	311	59	0	0	0	0	664	0	131	0	266	344	2	0	580	138	148	16	0	366	8	0	0	247	225	3	22	107	463	0	0	9	17	0	1384	59	0	585	291	0	0	184	61	9	0	102	479	160	0	0	349	125	4	14	263	551	1674	0	33	83	2669	0	8	714	0	0	96	3408	0	0
ASV_0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	40	0	0	9	6	0	0	11	0	0	0	0	0	0	0	80	98	0	0	0	52	6	0	0	40	27	0	0	0	0	0	0	0	0	0	0	0	54	104	0	0	0	27	30	0	0	14	0	0	19	21	0	9	0	0	67	82	0	0	25	0	36	0	0	54	13	0	0	19	34	0	0	39	0	0	0	2	0	0	3441	3870	0	8622	0	6426	5	4	6564	8166	0	0	2047	269	0	0	0	98	0	0	0	0	0	0	0	0	68	0	0	0	25	12	0	0	23	1417	789	88	149	124	64	9	11	0	332	0	0	0	749	970	0	0	158	11	13	0	131	1133	1990	0	124	0	0	148	76	11
ASV_0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	2317	0	0	14	1383	0	0	265	9148	0	10	0	708	29847	7	0	1070	1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	599	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886	97	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0026	0	0	0	5	0	0	0	0	3	4	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	53	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	4	0	0	0	7	20	0	0	5	23	0	0	0	5	6	0	0	7	18	0	0	1	0	0	0	0	20	34	0	0	0	0	0	0	0	0	5	20	4	2700	3371	85	46	1715	20	0	0	25	850	128	0	8	870	2649	10	42	0	352	41	0	0	166	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	26	18981	0	0	0	8067	60	52	5452	22	110	794	557	66	97	0	0	0	0	0	0	0	0	0	52	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	3090	1508	302	746	156	41	0	0	266	6638	2488	144	2033	65	150	25	2494	0	0	0	57	6220	4	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	15460	0	9	146	3418	5	0	0	0	19	7	0
ASV_0028	0	0	0	0	0	0	245	0	0	0	6	0	15	8	0	131	0	42	92	0	0	539	487	8	118	321	298	0	270	165	837	0	8	100	46	388	165	0	2	51	0	0	0	0	73	22	0	106	70	0	117	6	50	42	0	0	47	57	4	0	0	0	0	0	0	22	24	0	0	99	282	162	0	0	499	86	0	0	0	0	0	0	0	0	45	0	0	287	317	0	0	93	1823	899	0	0	23	16	0	0	21	74	25	0	0	64	334	0	12	201	0	0	17	45	270	714	0	5	44	165	0	0	0	4028	7	2774	0	4	2096	5747	0	0	1604	67	0	39	0	1314	1567	0	0	501	35	14	0	15	62	0	0	0	4	0	0	0	0	0	9	0	0	1125	575	1406	10	0	133	6944	0	4	79	176	0	0	0	408	218	0	0	30	307	10	266	47	0	0	452	278
